9/3/2010,111,76,675828,4,0.5,$2.00 ,$0.17 ,$2.17 ,0
9/3/2010,101,76,545778,2,0.5,$1.00 ,$0.09 ,$1.09 ,0
9/3/2010,97,76,569726,8,0.5,$4.00 ,$0.35 ,$4.35 ,0
9/3/2010,97,76,541988,2,0.5,$1.00 ,$0.09 ,$1.09 ,0
9/3/2010,91,76,541949,10,0,$10.00 ,$0.87 ,$10.87 ,10001528
9/3/2010,91,76,675832,3,0.5,$1.50 ,$0.13 ,$1.63 ,10001528
9/3/2010,80,76,541952,3,0.5,$1.50 ,$0.13 ,$1.63 ,10001530
9/3/2010,71,76,577065,4,0.5,$2.00 ,$0.17 ,$2.17 ,10000035
9/3/2010,55,76,684070,15,0.5,$7.50 ,$0.65 ,$8.15 ,0
9/3/2010,37,76,572122,4,0.5,$2.00 ,$0.17 ,$2.17 ,10001196
9/3/2010,37,76,241010,1,0.5,$0.50 ,$0.04 ,$0.54 ,10001196
9/3/2010,32,76,581557,1,0.5,$0.50 ,$0.04 ,$0.54 ,10001844
9/3/2010,23,76,697659,5,0.5,$2.50 ,$0.22 ,$2.72 ,10001630
9/3/2010,118,89,13391,1,0.5,$0.50 ,$0.04 ,$0.54 ,10001700
9/3/2010,118,90,13376,2,0.5,$1.00 ,$0.09 ,$1.09 ,10001700
9/3/2010,78,90,234935,2,0.5,$1.00 ,$0.09 ,$1.09 ,10001531
9/3/2010,75,100,706789,6,0.5,$3.00 ,$0.26 ,$3.26 ,10000363
9/3/2010,52,100,726444,8,0.5,$4.00 ,$0.35 ,$4.35 ,0
9/3/2010,37,100,695413,5,0.5,$2.50 ,$0.22 ,$2.72 ,10001196
9/3/2010,37,100,706788,5,0.5,$2.50 ,$0.22 ,$2.72 ,10001196
9/3/2010,23,100,706782,4,0.5,$2.00 ,$0.17 ,$2.17 ,10001630
9/3/2010,8,100,692940,5,0.5,$2.50 ,$0.22 ,$2.72 ,0
9/3/2010,7,100,235627,2,0.5,$1.00 ,$0.09 ,$1.09 ,0
9/3/2010,78,108,709205,2,0.5,$1.00 ,$0.09 ,$1.09 ,10001531
9/3/2010,15,129,711896,3,0,$3.00 ,$0.26 ,$3.26 ,0
9/3/2010,114,142,718839,3,0,$3.00 ,$0.26 ,$3.26 ,0
9/3/2010,116,173,537468,2,0.5,$1.00 ,$0.09 ,$1.09 ,0
9/3/2010,7,173,471868,4,0.5,$2.00 ,$0.17 ,$2.17 ,0
9/3/2010,113,177,648031,2,0.5,$1.00 ,$0.09 ,$1.09 ,0
9/3/2010,96,177,297655,2,0.5,$1.00 ,$0.09 ,$1.09 ,10001526
9/3/2010,78,177,701104,2,0.5,$1.00 ,$0.09 ,$1.09 ,10001531
9/3/2010,46,177,262738,2,0.5,$1.00 ,$0.09 ,$1.09 ,0
9/3/2010,15,177,648644,1,0.5,$0.50 ,$0.04 ,$0.54 ,0
9/3/2010,40,183,689671,3,0.5,$1.50 ,$0.13 ,$1.63 ,0
9/3/2010,17,183,689666,2,0.5,$1.00 ,$0.09 ,$1.09 ,10001845
9/3/2010,13,183,692888,1,0.5,$0.50 ,$0.04 ,$0.54 ,10001299
9/3/2010,101,188,683308,2,0.5,$1.00 ,$0.09 ,$1.09 ,0
9/3/2010,78,188,710821,1,0.5,$0.50 ,$0.04 ,$0.54 ,10001531
9/3/2010,26,188,684686,2,0.5,$1.00 ,$0.09 ,$1.09 ,10001197
9/3/2010,4,188,684705,3,0.5,$1.50 ,$0.13 ,$1.63 ,0
9/3/2010,114,200,724750,4,0.5,$2.00 ,$0.17 ,$2.17 ,0
9/3/2010,90,226,707165,10,0.5,$5.00 ,$0.43 ,$5.43 ,10001529
9/3/2010,89,226,708056,5,0.5,$2.50 ,$0.22 ,$2.72 ,10000413
9/3/2010,73,226,702222,5,0.5,$2.50 ,$0.22 ,$2.72 ,10001532
9/3/2010,67,226,702062,5,0.5,$2.50 ,$0.22 ,$2.72 ,10001476
9/3/2010,27,226,702065,5,0.5,$2.50 ,$0.22 ,$2.72 ,0
9/3/2010,5,226,702066,15,0.5,$7.50 ,$0.65 ,$8.15 ,0
9/3/2010,4,226,707821,6,0.5,$3.00 ,$0.26 ,$3.26 ,0
9/3/2010,110,234,708710,2,0.5,$1.00 ,$0.09 ,$1.09 ,0
9/3/2010,70,234,727709,3,0.5,$1.50 ,$0.13 ,$1.63 ,0
9/3/2010,61,234,710202,2,0.5,$1.00 ,$0.09 ,$1.09 ,0
9/3/2010,15,234,714471,6,0.5,$3.00 ,$0.26 ,$3.26 ,0
9/3/2010,107,242,727022,12,0.5,$6.00 ,$0.52 ,$6.52 ,10001523
